product_description,base_product_number,product_line,production_cost,product_image,product_type,color,gross_margin,product_line_code,product_name,introduction_date,title,product_type_code,product_size,brand,discontinued_date,product_brand_code,product_size_code,product_color_code,product_number
"The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap.",125,Personal Accessories,0.00,P65PA3WT10.jpg,Watches,Red,0.0,993,Venue,2005-04-01 00:00:00.0,Venue,960,One-size,Relax,,756,853,922,125150
"Lightweight, collapsible bag to carry liquids easily.  Wide mouth for easy filling.  Holds 10 liters.",1,Camping Equipment,4.00,P01CE1CG1.jpg,Cooking Gear,Clear,0.33,991,TrailChef Water Bag,1995-02-15 00:00:00.0,TrailChef Water Bag,951,10 liters,TrailChef,,701,808,908,1110
"Aluminum canteen. Rugged fleece-lined cover with belt clips, removable shoulder sling and small pocket for water purification tablets bottle. Holds 2 liters",2,Camping Equipment,9.22,P02CE1CG1.jpg,Cooking Gear,Brown,0.23,991,TrailChef Canteen,1995-02-15 00:00:00.0,TrailChef Canteen,951,2 liters,TrailChef,,701,807,906,2110
"Zippered nylon pouch contains cutlery for two, can opener, wire whisk, scrubber sponge, 2  60 ml squirt bottles, pancake turner and salt and pepper shaker.  Measures 10 x 22 x 5 cm.",3,Camping Equipment,15.93,P03CE1CG1.jpg,Cooking Gear,Unspecified,0.28,991,TrailChef Kitchen Kit,1995-02-15 00:00:00.0,TrailChef Kitchen Kit,951,15-piece,TrailChef,,701,825,924,3110
Tin cup. Holds 0.4 liters. Weight: 60 g,4,Camping Equipment,5.00,P04CE1CG1.jpg,Cooking Gear,Silver,0.28,991,TrailChef Cup,1995-02-15 00:00:00.0,TrailChef Cup,951,330 ml,TrailChef,,701,804,923,4110
All you will ever need on the trail.  Pot gripper and nylon carrying bag included.  1.5 and 2 liter pots with individual lids. Weight: 750 g.,5,Camping Equipment,34.97,P05CE1CG1.jpg,Cooking Gear,Silver,0.3,991,TrailChef Cook Set,1995-02-15 00:00:00.0,TrailChef Cook Set,951,6-piece,TrailChef,,701,823,923,5110
"Cascade set features 1, 2, and 3 liter pots with individual lids that double as fry pans or plates. Pot gripper and nylon carrying bag included.  Weight: 1.4 kg.",6,Camping Equipment,85.11,P06CE1CG1.jpg,Cooking Gear,Silver,0.28,991,TrailChef Deluxe Cook Set,1997-03-05 00:00:00.0,TrailChef Deluxe Cook Set,951,9-piece,TrailChef,,701,824,923,6110
"A single burner stove with integral tank.  It features precise flame control so you will never have to settle for burnt camp food again.  Weight 624 g, fuel is white gas.",7,Camping Equipment,46.38,P07CE1CG1.jpg,Cooking Gear,Silver,0.28,991,TrailChef Single Flame,1995-02-15 00:00:00.0,TrailChef Single Flame,951,Single-burner,TrailChef,,701,845,923,7110
"The TrailChef Double Flame is a camp stove which attaches directly to fuel canisters. Features precise flame control and a built-in windscreen.  Weight is 850 g, fuel is propane.",8,Camping Equipment,75.00,P08CE1CG1.jpg,Cooking Gear,Green,0.41,991,TrailChef Double Flame,1997-03-05 00:00:00.0,TrailChef Double Flame,951,Double-burner,TrailChef,,701,846,912,8110
"This old-fashioned style kettle is made of durable enamel.  Weight: 350g, Holds 1.5 liters.",9,Camping Equipment,9.00,P09CE1CG1.jpg,Cooking Gear,Ash,0.25,991,TrailChef Kettle,1997-03-05 00:00:00.0,TrailChef Kettle,951,1.5 liters,TrailChef,,701,806,900,9110
"Spoon, fork and knife set made of a light yet strong metal alloy.  Carrying pouch included.",10,Camping Equipment,10.00,P10CE1CG1.jpg,Cooking Gear,Silver,0.4,991,TrailChef Utensils,1995-02-15 00:00:00.0,TrailChef Utensils,951,4-piece,TrailChef,,701,822,923,10110
"A perfect tent for biking and hiking trips, compact and very light.  Features three shock cord aluminum poles, and three large mesh windows.  Packed size: 15 x 40 cm. Weight: 0.5 kg.",11,Camping Equipment,250.00,P11CE1TN2.jpg,Tents,Beige,0.28,991,Star Lite,1995-02-15 00:00:00.0,Star Lite,952,Two-person,Star,,702,842,901,11110
"Four pole geodesic dome mountain tent that comfortably fits two to three people. 10 mm aluminum poles, mesh pole sleeves and taped seams.  Packed size: 22 x 63 cm. Weight: 4.8 kg.",12,Camping Equipment,473.07,P12CE1TN2.jpg,Tents,Red,0.23,991,Star Dome,1997-03-05 00:00:00.0,Star Dome,952,Three-person,Star,,702,843,922,12110
The Star Gazer 2 is the Great Outdoor's most versatile tent.  It is a large two-person tent that is both durable and light weight.  Packed size: 18 x 70 cm. Weight: 2.6 kg.,13,Camping Equipment,392.57,P13CE1TN2.jpg,Tents,Light Blue,0.25,991,Star Gazer 2,1995-02-15 00:00:00.0,Star Gazer 2,952,Two-person,Star,,702,842,915,13110
"The Star Gazer 3 features a water proof fly, mesh window and two doors for good ventilation.  Packed size: 20 x 70 cm. Weight: 5.3 kg.",14,Camping Equipment,476.00,P14CE1TN2.jpg,Tents,Red,0.2,991,Star Gazer 3,1997-03-05 00:00:00.0,Star Gazer 3,952,Three-person,Star,,702,843,922,14110
"Massive cabin tent has ample room for six people. Mesh door and vent, T-style door.  Four side windows with storm flaps and three carry bags for tent and poles.",15,Camping Equipment,490.00,P15CE1TN2.jpg,Tents,Blue,0.33,991,Star Gazer 6,1997-03-05 00:00:00.0,Star Gazer 6,952,Six-person,Star,,702,844,903,15110
"A single tent peg made of heavy-duty plated steel. Long enough even for hard, rocky ground. Length: 25 cm",16,Camping Equipment,1.00,P16CE1TN2.jpg,Tents,Silver,0.5,991,Star Peg,1997-03-05 00:00:00.0,Star Peg,952,25 cm,Star,,702,815,923,16110
The Hibernator Lite is the perfect summer sleeping bag.  Light weight and comfortable down to 10°C.  The rectangular shape allows for easy pairing.  Weight with stuff sack: 1.0 kg.,17,Camping Equipment,60.00,P17CE1SB3.jpg,Sleeping Bags,Light Blue,0.28,991,Hibernator Lite,1997-03-05 00:00:00.0,Hibernator Lite,953,195 cm,Hibernator,,704,820,915,17110
The Hibernator is a three-season sleeping bag. The rectangular shape allows for easy pairing. Nylon shell material.  8 cm loft.  Comfortable down to 0°C.  One size fits up to 195 cm.,18,Camping Equipment,86.00,P17CE1SB3.jpg,Sleeping Bags,Light Blue,0.33,991,Hibernator,1995-02-15 00:00:00.0,Hibernator,953,195 cm,Hibernator,,704,820,915,18110
"The Hibernator Extreme has all the features you need for four-season comfort.  Comfortable from -18° to 9°C. Silk comfort lining, nylon shell. Fits users to 195 cm, stuff sack included.",19,Camping Equipment,150.00,P19CE1SB3.jpg,Sleeping Bags,Dark Blue,0.37,991,Hibernator Extreme,2000-10-26 00:00:00.0,Hibernator Extreme,953,195 cm,Extreme,,706,820,909,19110
Mattress is made of extra-thick foam. Mesh stuff sack included for easy carrying and storage. Repair kit included.,20,Camping Equipment,78.55,P20CE1SB3.jpg,Sleeping Bags,Blue,0.28,991,Hibernator Self - Inflating Mat,1997-03-05 00:00:00.0,Hibernator Self - Inflating Mat,953,195 cm,Hibernator,,704,820,903,20110
Warms up quickly for snow camping comfort. The Hibernator Pad will resist cracking in temperatures as low as -30°C.,21,Camping Equipment,29.17,P21CE1SB3.jpg,Sleeping Bags,Grey,0.17,991,Hibernator Pad,1995-02-15 00:00:00.0,Hibernator Pad,953,195 cm,Hibernator,,704,820,913,21110
"Camp pillow is filled with soft, luxurious fibers for maximum compactness and resiliency. Covered with soft cotton on one side and soft flannel on the other.",22,Camping Equipment,10.00,P22CE1SB3.jpg,Sleeping Bags,Purple,0.33,991,Hibernator Pillow,1995-02-15 00:00:00.0,Hibernator Pillow,953,Unspecified,Hibernator,,704,800,921,22110
Aluminum frame camp cot that is lightweight and durable.  Size: 100 x 225 x 50 cm.  Weight: 7 kg.,23,Camping Equipment,65.33,P23CE1SB3.jpg,Sleeping Bags,Brown,0.33,991,Hibernator Camp Cot,1997-03-05 00:00:00.0,Hibernator Camp Cot,953,225 cm,Hibernator,,704,821,906,23110
"This pack is perfect for day trips and short hikes. Also great for students.  Separate front compartment, multi-layered interior organizer, 2 cm waist belt, 32,000 cu. cm.",24,Camping Equipment,62.50,P24CE1PK4.jpg,Packs,Red,0.17,991,Canyon Mule Climber Backpack,1997-03-05 00:00:00.0,Canyon Mule Climber Backpack,954,32000 cc,Canyon Mule,,707,828,922,24110
"A weekend getaway requires this pack.  It features a large front compression pocket, harness and waist belt, foam molded back panel, vinyl covered gear loops.  50,000 cu. cm.",25,Camping Equipment,166.66,P25CE1PK4.jpg,Packs,Blue,0.33,991,Canyon Mule Weekender Backpack,1995-02-15 00:00:00.0,Canyon Mule Weekender Backpack,954,50000 cc,Canyon Mule,,707,829,903,25110
"Set of three packs: handlebar pack, front pack and rear pack.  Designed to fit most mountain bikes.  Includes mounting hardware.  Total volume: 66,000 cu. cm.",26,Camping Equipment,213.33,P26CE1PK4.jpg,Packs,Black,0.33,991,Canyon Mule Journey Backpack,1995-02-15 00:00:00.0,Canyon Mule Journey Backpack,954,66000 cc,Canyon Mule,,707,830,902,26110
"Perfect for long back country trips, this pack features an expandable front pocket, includes a large sleeping bag compartment, padded shoulder harness, back and waist belt. 90,000 cu. cm.",27,Camping Equipment,238.88,P27CE1PK4.jpg,Packs,Blue,0.43,991,Canyon Mule Extreme Backpack,1997-03-05 00:00:00.0,Canyon Mule Extreme Backpack,954,90000 cc,Extreme,,706,831,903,27110
"A durable plastic cooler with hinged top, perfect for storing small items. Size:100 x 50 x 50 cm.",28,Camping Equipment,24.00,P28CE1PK4.jpg,Packs,Blue,0.2,991,Canyon Mule Cooler,1995-02-15 00:00:00.0,Canyon Mule Cooler,954,250000 cc,Canyon Mule,,707,833,903,28110
"This pack has a large capacity, perfect for carrying all your camping gear.  Solid metal zipper and leather bottom.",29,Camping Equipment,41.18,P29CE1PK4.jpg,Packs,Blue,0.4,991,Canyon Mule Carryall,1997-03-05 00:00:00.0,Canyon Mule Carryall,954,120000 cc,Canyon Mule,,707,832,903,29110
"Lightweight flashlight made from aircraft aluminum. Focusable beam, tail cap push button allows for single-handed operation. Uses two AA batteries, included.",30,Camping Equipment,6.75,P30CE1LT5.jpg,Lanterns,Black,0.5,991,Firefly Lite,1997-03-05 00:00:00.0,Firefly Lite,955,5-hour,Firefly,,705,847,902,30110
"Clip-on flashlight for map or book reading. Also comes with flexible fiber optic extension. Lightweight, uses only one AA battery, included.",31,Camping Equipment,7.50,P31CE1LT5.jpg,Lanterns,Yellow,0.5,991,Firefly Mapreader,1997-03-05 00:00:00.0,Firefly Mapreader,955,5-hour,Firefly,,705,847,926,31110
"A high quality aluminum flashlight with Krypton bulb.  Uses two D batteries, included.",32,Camping Equipment,16.67,P32CE1LT5.jpg,Lanterns,Silver,0.33,991,Firefly 2,1995-02-15 00:00:00.0,Firefly 2,955,12-hour,Firefly,,705,849,923,32110
"Made of solid plastic construction, adjustable beam (flood to spot), Krypton bulb.  Uses four D batteries, included.",33,Camping Equipment,18.00,P33CE1LT5.jpg,Lanterns,Yellow,0.33,991,Firefly 4,1997-03-05 00:00:00.0,Firefly 4,955,25-hour,Firefly,,705,850,926,33110
"The Firefly Extreme is under 15 cm long yet produces 7,000 candlepower using two lithium batteries and a Xenon bulb. Shock and water resistant. Weight: 135 g.",34,Camping Equipment,28.12,P34CE1LT5.jpg,Lanterns,Black,0.37,991,Firefly Extreme,2000-10-26 00:00:00.0,Firefly Extreme,955,12-hour,Extreme,,706,849,902,34110
"This light can be used as either a flashlight or as a lamp. Uses two C batteries, included.  Burn time 7-8 hours. Water-resistant.",35,Camping Equipment,17.78,P35CE1LT5.jpg,Lanterns,Orange,0.25,991,Firefly Multi-light,2000-10-26 00:00:00.0,Firefly Multi-light,955,12-hour,Firefly,,705,849,918,35110
Light output approximates a 100 W bulb. Single mantle regulated. Porcelain dome. Uses 0.5 liter  propane cylinder (not included).,36,Camping Equipment,18.05,P36CE1LT5.jpg,Lanterns,Blue,0.4,991,EverGlow Single,1995-02-15 00:00:00.0,EverGlow Single,955,5-hour,EverGlow,,708,847,903,36110
Light output approximates a 175 W bulb. Double mantle regulated. Porcelain dome. Uses 0.5 liter propane cylinder (not included).,37,Camping Equipment,28.75,P37CE1LT5.jpg,Lanterns,Black,0.37,991,EverGlow Double,1997-03-05 00:00:00.0,EverGlow Double,955,8-hour,EverGlow,,708,848,902,37110
"One of the most dependable sources of light in an emergency, this lantern is always ready and doesn't need to be recharged. Cotton wick. Height: 30 cm.",38,Camping Equipment,20.00,P38CE1LT5.jpg,Lanterns,Silver,0.33,991,EverGlow Kerosene,1997-03-05 00:00:00.0,EverGlow Kerosene,955,25-hour,EverGlow,,708,850,923,38110
"Adjustable brightness control with auto ignition. Safely stores in its own protective case.  Approximate burn time 5 hours on one 0.25 liter butane canister, included.",39,Camping Equipment,40.63,P39CE1LT5.jpg,Lanterns,Blue,0.37,991,EverGlow Butane,1997-03-05 00:00:00.0,EverGlow Butane,955,5-hour,EverGlow,,708,847,903,39110
"Perfect for in your tent, this lamp comes with a 6V battery.  Complete with shade and hanging hook.",40,Camping Equipment,17.97,P40CE1LT5.jpg,Lanterns,Black,0.28,991,EverGlow Lamp,1995-02-15 00:00:00.0,EverGlow Lamp,955,5-hour,EverGlow,,708,847,902,40110
"Simple to use, just requires a candle to be inserted and lit.  Windproof, lasts for hours.",41,Camping Equipment,24.62,P41CE1LT5.jpg,Lanterns,Orange,0.23,991,Flicker Lantern,2005-01-10 00:00:00.0,Flicker Lantern,955,8-hour,Firefly,,705,848,918,41110
11 mm diameter standard rope. Length: 50 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.,42,Mountaineering Equipment,106.66,P42ME2RP6.jpg,Rope,Red,0.33,992,Husky Rope 50,2005-01-10 00:00:00.0,Husky Rope 50,956,50 m,Husky,,709,834,922,42110
11 mm diameter standard rope. Length: 60 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.,43,Mountaineering Equipment,126.66,P42ME2RP6.jpg,Rope,Red,0.33,992,Husky Rope 60,2005-01-10 00:00:00.0,Husky Rope 60,956,60 m,Husky,,709,835,922,43110
11 mm diameter standard rope. Length: 100 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.,44,Mountaineering Equipment,231.11,P44ME2RP6.jpg,Rope,Blue,0.33,992,Husky Rope 100,2005-01-10 00:00:00.0,Husky Rope 100,956,100 m,Husky,,709,836,903,44110
11 mm diameter standard rope. Length: 200 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.,45,Mountaineering Equipment,383.32,P44ME2RP6.jpg,Rope,Blue,0.33,992,Husky Rope 200,2005-01-10 00:00:00.0,Husky Rope 200,956,200 m,Husky,,709,837,903,45110
"This UIAA approved helmet fits adults and kids, suitable for rock and alpine use.",46,Mountaineering Equipment,52.86,P46ME2SY7.jpg,Safety,Orange,0.28,992,Granite Climbing Helmet,2005-01-10 00:00:00.0,Granite Climbing Helmet,957,One-size,Granite,,710,853,918,46110
One size fits all due to extensive waist belt adjustment and fully adjustable leg loops.,47,Mountaineering Equipment,44.83,P47ME2SY7.jpg,Safety,Black,0.31,992,Husky Harness,2005-01-10 00:00:00.0,Husky Harness,957,One-size,Husky,,709,853,902,47110
One size fits all. Top of the range fully adjustable technical harness. Ultra high strength belay loop rated in excess of 30kN. Rear haul loop rated to 10kN.,48,Mountaineering Equipment,55.00,P47ME2SY7.jpg,Safety,Black,0.5,992,Husky Harness Extreme,2005-01-10 00:00:00.0,Husky Harness Extreme,957,One-size,Extreme,,706,853,902,48110
Day or night signal mirror with gridded sighting hole.  6mm laminated glass. Soft carrying case included. Size: 8 x 13 cm. Weight: 400 g.,49,Mountaineering Equipment,16.50,P49ME2SY7.jpg,Safety,Grey,0.5,992,Granite Signal Mirror,2005-01-10 00:00:00.0,Granite Signal Mirror,957,Small,Granite,,710,838,913,49110
Made from 12 mm rod stock aluminum and a radius suitable for almost any rope size. Locks tight with almost any belay/rappel combination. Individually tested.,50,Mountaineering Equipment,2.00,P50ME2CA8.jpg,Climbing Accessories,Silver,0.5,992,Granite Carabiner,2005-01-10 00:00:00.0,Granite Carabiner,958,12 mm,Granite,,710,801,923,50110
The Granite Belay is an ingenious single rope belay device that uses carabiner movement to brake the rope.,51,Mountaineering Equipment,35.00,P51ME2CA8.jpg,Climbing Accessories,Black,0.5,992,Granite Belay,2005-01-10 00:00:00.0,Granite Belay,958,Unspecified,Granite,,710,800,902,51110
"Light, simple and strong, a great all purpose pulley.",52,Mountaineering Equipment,19.00,P52ME2CA8.jpg,Climbing Accessories,Black,0.5,992,Granite Pulley,2005-01-10 00:00:00.0,Granite Pulley,958,Unspecified,Granite,,710,800,902,52110
"This climbing lamp is water-resistant. It comes with two bulbs, standard and halogen. Includes one 6V halogen bulb and one 6V standard bulb. Weight: 200g.",53,Mountaineering Equipment,28.55,P53ME2CA8.jpg,Climbing Accessories,Grey,0.28,992,Firefly Climbing Lamp,2005-01-10 00:00:00.0,Firefly Climbing Lamp,958,12-hour,Firefly,,705,849,913,53110
"Power charger for the Firefly Climbing Lamp. The charger cannot overcharge the Firefly battery, so you can leave it in the charger without worrying.",54,Mountaineering Equipment,35.33,P54ME2CA8.jpg,Climbing Accessories,Black,0.33,992,Firefly Charger,2005-01-10 00:00:00.0,Firefly Charger,958,Unspecified,Firefly,,705,800,902,54110
"Rechargeable battery pack for the Firefly Climbing Lamp. Each charge gives 3 hours of light with a halogen bulb and 9 hours with standard bulb. Battery may be recharged up to 1,000 times.",55,Mountaineering Equipment,4.00,P55ME2CA8.jpg,Climbing Accessories,Yellow,0.5,992,Firefly Rechargeable Battery,2005-01-10 00:00:00.0,Firefly Rechargeable Battery,958,Unspecified,Firefly,,705,800,926,55110
Nylon web bag perfect for holding several sticks of chalk.,56,Mountaineering Equipment,9.00,P56ME2CA8.jpg,Climbing Accessories,Multicolored,0.5,992,Granite Chalk Bag,2005-01-10 00:00:00.0,Granite Chalk Bag,958,Medium,Granite,,710,839,917,56110
A general purpose mountaineering axe for snow and glacier travel. Excellent mid-weight axe. Weight: 638 g,57,Mountaineering Equipment,40.00,P57ME2TL9.jpg,Tools,Silver,0.5,992,Granite Ice,2005-01-10 00:00:00.0,Granite Ice,959,30 cm,Granite,,710,816,923,57110
A solid hammer made with a solid hard wood handle and steel head.  Weight: 800g.,58,Mountaineering Equipment,57.13,P58ME2TL9.jpg,Tools,Brown,0.28,992,Granite Hammer,2005-01-10 00:00:00.0,Granite Hammer,959,30 cm,Granite,,710,816,906,58110
Shovel has removable aluminum handle and heat treated aluminum blade.,59,Mountaineering Equipment,46.15,P59ME2TL9.jpg,Tools,Black,0.23,992,Granite Shovel,2005-01-10 00:00:00.0,Granite Shovel,959,55 cm,Granite,,710,818,902,59110
"All-purpose stainless steel pliers. Sheath included. Length (closed) 12cm, (open) 16 cm. Weight: 200 g.",60,Mountaineering Equipment,10.00,P60ME2TL9.jpg,Tools,Red,0.5,992,Granite Grip,2005-01-10 00:00:00.0,Granite Grip,959,12 cm,Granite,,710,812,922,60110
Camping axe with clear coated wood handle.,61,Mountaineering Equipment,20.00,P61ME2TL9.jpg,Tools,Brown,0.5,992,Granite Axe,2005-01-10 00:00:00.0,Granite Axe,959,61 cm,Granite,,710,819,906,61110
"The Edge Extreme is a collapsible plier-shaped gadget, three knife blades, file and scissors, perfect for the outdoors.  Carrying case included.",62,Mountaineering Equipment,47.06,P62ME2TL9.jpg,Tools,Silver,0.4,992,Granite Extreme,2005-01-10 00:00:00.0,Granite Extreme,959,25 cm,Extreme,,706,815,923,62110
"Padded leather strap, precision Swiss quartz movement, sweep second hand, 24-hour time ring, luminous hands and markers, hardened mineral crystal.",63,Personal Accessories,30.00,P63PA3WT10.jpg,Watches,Green,0.33,993,Mountain Man Analog,1995-02-15 00:00:00.0,Mountain Man Analog,960,Men's,Mountain Man,,711,851,912,63110
"Padded leather strap, precision Swiss quartz movement, sweep second hand, 24-hour time ring, luminous hands and markers, hardened mineral crystal.",63,Personal Accessories,30.00,P63PA3WT10.jpg,Watches,Orange,0.33,993,Mountain Man Analog,2005-01-01 00:00:00.0,Mountain Man Analog,960,Women's,Mountain Man,,711,852,918,63130
"Padded leather strap, precision Swiss quartz movement, sweep second hand, 24-hour time ring, luminous hands and markers, hardened mineral crystal.",63,Personal Accessories,30.00,P63PA3WT10.jpg,Watches,Orange,0.33,993,Mountain Man Analog,2005-01-01 00:00:00.0,Mountain Man Analog,960,Men's,Mountain Man,,711,851,918,63140
"Tough rubber strap, digital face, hardened crystal, water-resistant to 50 meters.",64,Personal Accessories,20.00,P64PA3WT10.jpg,Watches,Blue,0.5,993,Mountain Man Digital,1995-02-15 00:00:00.0,Mountain Man Digital,960,One-size,Mountain Man,,711,853,903,64110
"Tough rubber strap, precision Swiss quartz movement, imbedded digital face, luminous hands and markers, hardened mineral crystal, start and stop buttons, water-resistant to 50 meters.",65,Personal Accessories,39.00,P65PA3WT10.jpg,Watches,Red,0.5,993,Mountain Man Deluxe,1997-03-05 00:00:00.0,Mountain Man Deluxe,960,Women's,Mountain Man,,711,852,922,65110
"Tough rubber strap, precision Swiss quartz movement, imbedded digital face, luminous hands and markers, hardened mineral crystal, start and stop buttons, water-resistant to 50 meters.",65,Personal Accessories,39.00,P65PA3WT10.jpg,Watches,Red,0.5,993,Mountain Man Deluxe,2006-01-01 00:00:00.0,Mountain Man Deluxe,960,Men's,Mountain Man,,711,851,922,65120
"Combination watch, altimeter, compass and barometric gauge.  Heavy duty rubber strap,  hardened mineral crystal.",66,Personal Accessories,45.00,P66PA3WT10.jpg,Watches,Black,0.5,993,Mountain Man Combination,1997-03-05 00:00:00.0,Mountain Man Combination,960,One-size,Mountain Man,,711,853,902,66110
"Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters.",67,Personal Accessories,116.19,P67PA3WT10.jpg,Watches,Silver,0.51,993,Mountain Man Extreme,2000-10-26 00:00:00.0,Mountain Man Extreme,960,One-size,Extreme,,706,853,923,67110
"The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.",68,Personal Accessories,46.15,P68PA3EW11.jpg,Eyewear,Silver,0.23,993,Polar Sun,1995-02-15 00:00:00.0,Polar Sun,961,Women's,Polar,,712,852,923,68110
"The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.",68,Personal Accessories,46.15,P68PA3EW11.jpg,Eyewear,Blue,0.23,993,Polar Sun,2005-01-01 00:00:00.0,Polar Sun,961,Men's,Polar,,712,851,903,68120
"The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.",68,Personal Accessories,46.15,P68PA3EW11.jpg,Eyewear,Blue,0.23,993,Polar Sun,2005-01-01 00:00:00.0,Polar Sun,961,Women's,Polar,,712,852,903,68190
"The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.",68,Personal Accessories,46.15,P68PA3EW11.jpg,Eyewear,Red,0.23,993,Polar Sun,2005-01-01 00:00:00.0,Polar Sun,961,Men's,Polar,,712,851,922,68200
"The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.",68,Personal Accessories,46.15,P68PA3EW11.jpg,Eyewear,Yellow,0.23,993,Polar Sun,2005-01-01 00:00:00.0,Polar Sun,961,Women's,Polar,,712,852,926,68220
"The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.",68,Personal Accessories,46.15,P68PA3EW11.jpg,Eyewear,Red,0.23,993,Polar Sun,2005-01-01 00:00:00.0,Polar Sun,961,Women's,Polar,,712,852,922,68230
"The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.",68,Personal Accessories,46.15,P68PA3EW11.jpg,Eyewear,Silver,0.23,993,Polar Sun,2005-01-01 00:00:00.0,Polar Sun,961,Men's,Polar,,712,851,923,68240
"The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.",68,Personal Accessories,46.15,P68PA3EW11.jpg,Eyewear,Yellow,0.23,993,Polar Sun,2005-01-01 00:00:00.0,Polar Sun,961,Men's,Polar,,712,851,926,68250
Polar Ice sunglasses have polarized lenses to combat glare from snow. Unbreakable nylon frame.,69,Personal Accessories,73.33,P69PA3EW11.jpg,Eyewear,Black,0.33,993,Polar Ice,1995-02-15 00:00:00.0,Polar Ice,961,Men's,Polar,,712,851,902,69110
Polar Ice sunglasses have polarized lenses to combat glare from snow. Unbreakable nylon frame.,69,Personal Accessories,73.33,P69PA3EW11.jpg,Eyewear,Black,0.33,993,Polar Ice,2005-01-01 00:00:00.0,Polar Ice,961,Women's,Polar,,712,852,902,69120
Six base classic nylon composite frame sunglasses with wire core temples.,70,Personal Accessories,80.00,P70PA3EW11.jpg,Eyewear,Blue,0.33,993,Polar Sports,2006-01-01 00:00:00.0,Polar Sports,961,Men's,Polar,,712,851,903,70110
Six base classic nylon composite frame sunglasses with wire core temples.,70,Personal Accessories,80.00,P70PA3EW11.jpg,Eyewear,Blue,0.33,993,Polar Sports,2006-01-01 00:00:00.0,Polar Sports,961,Women's,Polar,,712,852,903,70120
Six base classic nylon composite frame sunglasses with wire core temples.,70,Personal Accessories,80.00,P70PA3EW11.jpg,Eyewear,Red,0.33,993,Polar Sports,2006-01-01 00:00:00.0,Polar Sports,961,Men's,Polar,,712,851,922,70140
Six base classic nylon composite frame sunglasses with wire core temples.,70,Personal Accessories,80.00,P70PA3EW11.jpg,Eyewear,Yellow,0.33,993,Polar Sports,2006-01-01 00:00:00.0,Polar Sports,961,Men's,Polar,,712,851,926,70160
Six base classic nylon composite frame sunglasses with wire core temples.,70,Personal Accessories,80.00,P70PA3EW11.jpg,Eyewear,Red,0.33,993,Polar Sports,2006-01-01 00:00:00.0,Polar Sports,961,Women's,Polar,,712,852,922,70200
